,fullname,team,birthdate,country,height,weight,rider_url
300,Sam Bewley,Mitchelton-Scott,1987-07-22,New Zealand,0.0,0.0,sam-bewley
301,Jack Bobridge,noteam,1989-07-13,Australia,1.8,65.0,jack-bobridge
302,Simon Clarke,EF Education First,1986-07-18,Australia,1.75,63.0,simon-clarke
303,Baden Cooke,noteam,1978-10-12,Australia,1.78,73.0,baden-cooke
304,Allan Howard Davis,noteam,1980-07-27,Australia,0.0,0.0,allan-davis
305,Julian Dean,noteam,1975-01-28,New Zealand,0.0,0.0,julian-dean
306,Mitchell Docker,EF Education First,1986-10-02,Australia,0.0,0.0,mitchell-docker
307,Luke Durbridge,Mitchelton-Scott,1991-04-09,Australia,1.87,78.0,luke-durbridge
308,Simon Gerrans,noteam,1980-05-16,Australia,1.69,62.0,simon-gerrans
309,Matthew Goss,noteam,1986-11-05,Australia,1.78,70.0,matthew-goss
310,Michael Hepburn,Mitchelton-Scott,1991-08-17,Australia,1.86,77.0,michael-hepburn
311,Leigh Howard,Pro Racing Sunshine Coast,1989-10-18,Australia,1.79,72.0,leigh-howard
312,Daryl Impey,Mitchelton-Scott,1984-12-06,South Africa,1.81,70.0,daryl-impey
313,Jens Keukeleire,Lotto Soudal,1988-11-23,Belgium,1.85,69.0,jens-keukeleire
314,Aidis Kruopis,noteam,1986-10-26,Lithuania,1.84,80.0,aidis-kruopis
315,Brett Lancaster,noteam,1979-11-15,Australia,1.88,78.0,brett-lancaster
316,Sebastian Langeveld,EF Education First,1985-01-17,Netherlands,1.78,67.0,sebastian-langeveld
317,Robbie McEwen,noteam,1972-06-24,Australia,0.0,0.0,robbie-mcewen
318,Christian Meier,noteam,1985-02-21,Canada,0.0,0.0,christian-meier
319,Travis Meyer,noteam,1989-06-08,Australia,1.78,68.0,travis-meyer
320,Cameron Meyer,Mitchelton-Scott,1988-01-11,Australia,1.81,70.0,cameron-meyer
321,Jens Mouris,noteam,1980-03-12,Netherlands,1.97,91.0,jens-mouris
322,Stuart O'Grady,noteam,1973-08-06,Australia,1.76,73.0,stuart-o-grady
323,Wesley Sulzberger,noteam,1986-10-20,Australia,0.0,0.0,wesley-sulzberger
324,Daniel Teklehaimanot,noteam,1988-11-10,Eritrea,1.88,70.0,daniel-teklehaimanot
325,Svein Tuft,Rally UHC Cycling,1977-05-09,Canada,1.75,77.0,svein-tuft
326,Tomas Vaitkus,noteam,1982-02-04,Lithuania,0.0,0.0,tomas-vaitkus
327,Pieter Weening,Roompot - Charles,1981-04-05,Netherlands,1.86,66.0,pieter-weening
328,Matthew Wilson,noteam,1977-10-01,Australia,0.0,0.0,matthew-wilson
329,Carlos Barredo,noteam,1981-06-05,Spain,0.0,0.0,carlos-barredo
330,Jetse Bol,Burgos-BH,1989-09-08,Netherlands,1.84,73.0,jetse-bol
331,Lars Boom,Roompot - Charles,1985-12-30,Netherlands,1.91,72.0,lars-boom
332,Theo Bos,noteam,1983-08-22,Netherlands,1.9,77.0,theo-bos
333,Matti Breschel,EF Education First,1984-08-31,Denmark,1.81,70.0,matti-breschel
334,Graeme Allen Brown,noteam,1979-04-09,Australia,1.78,77.0,graeme-brown
335,Stef Clement,noteam,1982-09-24,Netherlands,1.81,67.0,stef-clement
336,Rick Flens,noteam,1983-04-11,Netherlands,1.87,82.0,rick-flens
337,Juan Manuel Garate,noteam,1976-04-24,Spain,0.0,0.0,juan-manuel-garate
338,Robert Gesink,Team Jumbo-Visma,1986-05-31,Netherlands,1.89,70.0,robert-gesink
339,Marc Goos,noteam,1990-11-30,Netherlands,1.78,65.0,marc-goos
340,Wilco Kelderman,Team Sunweb,1991-03-25,Netherlands,1.85,65.0,wilco-kelderman
341,Steven Kruijswijk,Team Jumbo-Visma,1987-06-07,Netherlands,1.78,63.0,steven-kruijswijk
342,Tom Leezer,Team Jumbo-Visma,1985-12-26,Netherlands,1.85,76.0,tom-leezer
343,Paul Martens,Team Jumbo-Visma,1983-10-26,Germany,1.78,69.0,paul-martens
344,Michael Matthews,Team Sunweb,1990-09-26,Australia,1.8,0.0,michael-matthews
345,Bauke Mollema,Trek - Segafredo,1986-11-26,Netherlands,1.81,64.0,bauke-mollema
346,Grischa Niermann,noteam,1975-11-03,Germany,0.0,0.0,grischa-niermann
347,Daan Olivier,noteam,1992-11-24,Netherlands,1.88,64.0,daan-olivier
348,Mark Renshaw,Team Dimension Data,1982-10-22,Australia,1.79,74.0,mark-renshaw
349,Luis León Sánchez,Astana Pro Team,1983-11-24,Spain,1.87,74.0,luis-leon-sanchez
350,Tom-Jelte Slagter,Team Dimension Data,1989-07-01,Netherlands,1.69,58.0,tom-jelte-slagter
351,Bram Tankink,noteam,1978-12-03,Netherlands,1.81,71.0,bram-tankink
352,Laurens ten Dam,CCC Team,1980-11-13,Netherlands,1.84,69.0,laurens-ten-dam
353,Maarten Tjallingii,noteam,1977-11-05,Netherlands,1.88,81.0,maarten-tjallingii
354,Jos van Emden,Team Jumbo-Visma,1985-02-18,Netherlands,1.86,74.0,jos-van-emden
355,Dennis van Winden,Israel Cycling Academy,1987-12-02,Netherlands,1.84,70.0,dennis-van-winden
356,Coen Vermeltfoort,Alecto Cycling Team ,1988-04-11,Netherlands,1.9,85.0,coen-vermeltfoort
357,Maarten Wynants,Team Jumbo-Visma,1982-05-13,Belgium,1.9,74.0,maarten-wynants
358,Jan Bakelants,Team Sunweb,1986-02-14,Belgium,1.77,67.0,jan-bakelants
359,Daniele Bennati,Movistar Team,1980-09-24,Italy,1.83,71.0,daniele-bennati
360,George Bennett,Team Jumbo-Visma,1990-04-07,New Zealand,1.8,58.0,george-bennett
361,Matthew Busche,noteam,1985-05-09,United States,1.74,69.0,matthew-busche
362,Fabian Cancellara,noteam,1981-03-18,Switzerland,1.86,80.0,fabian-cancellara
363,Laurent Didier,noteam,1984-07-19,Luxembourg,1.89,68.0,laurent-didier
364,Jakob Fuglsang,Astana Pro Team,1985-03-22,Denmark,1.82,68.0,jakob-fuglsang
365,Tony Gallopin,AG2R La Mondiale,1988-05-24,France,1.8,70.0,tony-gallopin
366,Linus Gerdemann,noteam,1982-09-16,Germany,1.83,71.0,linus-gerdemann
367,Ben Hermans,Israel Cycling Academy,1986-06-08,Belgium,1.86,72.0,ben-hermans
368,Chris Horner,Team Illuminate,1971-10-23,United States,1.8,70.0,chris-horner
369,Markel Irizar,noteam,1980-02-05,Spain,1.82,73.0,markel-irizar
370,Ben King,Team Dimension Data,1989-03-22,United States,1.83,68.0,benjamin-king-1
371,Andreas Klöden,noteam,1975-06-22,Germany,1.83,63.0,andreas-kloden
372,Tiago Machado,Sporting Clube de Portugal/Tavira,1985-10-18,Portugal,1.78,63.0,tiago-machado
373,Maxime Monfort,Lotto Soudal,1983-01-14,Belgium,1.81,66.0,maxime-monfort
374,Giacomo Nizzolo,Team Dimension Data,1989-01-30,Italy,1.84,72.0,giacomo-nizzolo
375,Nelson Oliveira,Movistar Team,1989-03-06,Portugal,1.8,67.0,nelson-oliveira
376,Yaroslav Popovych,noteam,1980-01-04,Ukraine,1.75,64.0,yaroslav-popovych
377,Joost Posthuma,noteam,1981-03-08,Netherlands,0.0,0.0,joost-posthuma
378,Grégory Rast,noteam,1980-01-17,Switzerland,1.86,80.0,gregory-rast
379,Thomas Rohregger,noteam,1982-12-23,Austria,0.0,0.0,thomas-rohregger
380,Hayden Roulston,noteam,1981-01-10,New Zealand,1.86,81.0,hayden-roulston
381,Andy Schleck,noteam,1985-06-10,Luxembourg,1.86,68.0,andy-schleck
382,Fränk Schleck,noteam,1980-04-15,Luxembourg,1.86,65.0,frank-schleck
383,Jesse Sergent,noteam,1988-07-08,New Zealand,1.89,76.0,jesse-sergent
384,Jens Voigt,noteam,1971-09-17,Germany,1.89,76.0,jens-voigt
385,Robert Wagner,noteam,1983-04-17,Germany,1.86,75.0,robert-wagner
386,Oliver Zaugg,noteam,1981-05-09,Switzerland,1.67,58.0,oliver-zaugg
387,Haimar Zubeldia,noteam,1977-04-01,Spain,1.79,68.0,haimar-zubeldia
388,Davide Appollonio,Amore & Vita - Prodir,1989-06-02,Italy,1.7,67.0,davide-appollonio
389,Michael Barry,noteam,1975-12-18,Canada,1.89,72.0,michael-barry
390,Edvald Boasson Hagen,Team Dimension Data,1987-05-17,Norway,1.85,75.0,edvald-boasson-hagen
391,Mark Cavendish,Team Dimension Data,1985-05-21,Great Britain,1.75,70.0,mark-cavendish
392,Alex Dowsett,Team Katusha Alpecin,1988-10-03,Great Britain,1.82,75.0,alex-dowsett
393,Bernhard Eisel,Team Dimension Data,1981-02-17,Austria,1.83,74.0,bernhard-eisel
394,Juan Antonio Flecha,noteam,1977-09-17,Spain,1.81,72.0,juan-antonio-flecha
395,Chris Froome,Team INEOS,1985-05-20,Great Britain,1.86,69.0,christopher-froome
396,Mathew Hayman,noteam,1978-04-20,Australia,1.9,78.0,mathew-hayman
397,Sergio Henao,UAE-Team Emirates,1987-12-10,Colombia,1.69,61.0,sergio-luis-henao
398,Jeremy Hunt,noteam,1974-03-12,Great Britain,0.0,0.0,jeremy-hunt
399,Peter Kennaugh,noteam,1989-06-15,Great Britain,1.73,66.0,peter-kennaugh
400,Christian Knees,Team INEOS,1981-03-05,Germany,1.94,81.0,christian-knees
401,Thomas Löfkvist,noteam,1984-04-04,Sweden,0.0,0.0,thomas-lofkvist
402,Davide Martinelli,Deceuninck - Quick Step,1993-05-31,Italy,1.86,71.0,davide-martinelli
403,Lars Petter Nordhaug,noteam,1984-05-14,Norway,1.76,65.0,lars-petter-nordhaug
404,Danny Pate,noteam,1979-03-24,United States,1.85,73.0,danny-pate
405,Richie Porte,Trek - Segafredo,1985-01-30,Australia,1.72,62.0,richie-porte
406,Salvatore Puccio,Team INEOS,1989-08-31,Italy,1.82,68.0,salvatore-puccio
407,Michael Rogers,noteam,1979-12-20,Australia,1.85,74.0,michael-rogers
408,Luke Rowe,Team INEOS,1990-03-10,Great Britain,1.85,72.0,luke-rowe
409,Kanstantsin Siutsou,noteam,1982-08-09,Belarus,1.83,68.0,kanstantsin-siutsou
410,Ian Stannard,Team INEOS,1987-05-25,Great Britain,1.89,83.0,ian-stannard
411,Chris Sutton,noteam,1984-09-10,Australia,1.76,67.0,chris-sutton
412,Ben Swift,Team INEOS,1987-11-05,Great Britain,1.79,69.0,ben-swift
413,Geraint Thomas,Team INEOS,1986-05-25,Great Britain,1.83,71.0,geraint-thomas
414,Rigoberto Urán,EF Education First,1987-01-26,Colombia,1.73,63.0,rigoberto-uran
415,Bradley Wiggins,noteam,1980-04-28,Great Britain,1.89,76.0,bradley-wiggins
416,Xabier Zandio,noteam,1977-03-17,Spain,1.84,73.0,xabier-zandio
417,Jack Bauer,Mitchelton-Scott,1985-04-07,New Zealand,1.91,74.0,jack-bauer
418,Tom Danielson,noteam,1978-03-13,United States,1.77,58.5,thomas-danielson
419,Thomas Dekker,noteam,1984-09-06,Netherlands,1.88,69.0,thomas-dekker
420,Tyler Farrar,noteam,1984-06-02,United States,1.83,73.0,tyler-farrar
421,Koldo Fernández,noteam,1981-09-13,Spain,0.0,0.0,koldo-fernandez
422,Murilo Antonio Fischer,noteam,1979-06-16,Brazil,1.7,65.0,murilo-antonio-fischer
423,Nathan Haas,Team Katusha Alpecin,1989-03-12,Australia,1.78,71.0,nathan-haas
424,Heinrich Haussler,Bahrain Merida,1984-02-25,Australia,1.81,74.0,heinrich-haussler
425,Ryder Hesjedal,noteam,1980-12-09,Canada,1.87,73.0,ryder-hesjedal
426,Alex Howes,EF Education First,1988-01-01,United States,1.8,61.0,alex-howes
427,Robert Hunter,noteam,1977-04-22,South Africa,1.78,72.0,robert-hunter
428,Andreas Klier,noteam,1976-01-15,Germany,1.81,72.0,andreas-klier
429,Michel Kreder,Ningxia Sports Lottery - Livall Cycling team,1987-08-15,Netherlands,1.8,67.0,michel-kreder
430,Raymond Kreder,Team UKYO,1989-11-26,Netherlands,1.77,70.0,raymond-kreder
431,Christophe Le Mével,noteam,1980-09-11,France,1.74,61.0,christophe-le-mevel
432,Martijn Maaskant,noteam,1983-07-27,Netherlands,0.0,0.0,martijn-maaskant
433,Dan Martin,UAE-Team Emirates,1986-08-20,Ireland,1.75,59.0,dan-martin
434,David Millar,noteam,1977-01-04,Great Britain,1.9,77.0,david-millar
435,Lachlan Morton,EF Education First,1992-01-02,Australia,1.8,62.0,lachlan-morton
436,Ramūnas Navardauskas,Delko Marseille Provence,1988-01-30,Lithuania,1.9,77.0,ramunas-navardauskas
437,Tom Peterson,noteam,1986-12-24,United States,0.0,0.0,tom-peterson
438,Alex Rasmussen,noteam,1984-06-09,Denmark,0.0,0.0,alex-rasmussen
439,Jacob Rathe,noteam,1991-03-13,United States,0.0,0.0,jacob-rathe
440,Sébastien Rosseler,noteam,1981-07-15,Belgium,0.0,0.0,sebastien-rosseler
441,Tom Scully,EF Education First,1990-01-14,New Zealand,1.88,85.0,thomas-scully
442,Peter Stetina,Trek - Segafredo,1987-08-08,United States,1.8,63.0,peter-stetina
443,Andrew Talansky,noteam,1988-11-23,United States,1.75,63.0,andrew-talansky
444,Christian Vande Velde,noteam,1976-05-22,United States,1.8,69.0,christian-vande-velde
445,Sep Vanmarcke,EF Education First,1988-07-28,Belgium,1.9,77.0,sep-vanmarcke
446,Johan Vansummeren,noteam,1981-02-04,Belgium,1.97,79.0,johan-vansummeren
447,Steele Von Hoff,noteam,1987-12-31,Australia,1.8,0.0,steele-von-hoff
448,Fabian Wegmann,noteam,1980-06-20,Germany,0.0,0.0,fabian-wegmann
449,David Zabriskie,noteam,1979-01-12,United States,1.83,67.0,david-zabriskie
450,Maxim Belkov,noteam,1985-01-09,Russia,1.84,71.0,maxim-belkov
451,Pavel Brutt,noteam,1982-01-29,Russia,1.78,70.0,pavel-brutt
452,Giampaolo Caruso,noteam,1980-08-15,Italy,1.73,60.0,giampaolo-caruso
453,Xavier Florencio,noteam,1979-12-26,Spain,0.0,0.0,xavier-florencio
454,Óscar Freire,noteam,1976-02-15,Spain,1.71,63.0,oscar-freire
455,Denis Galimzyanov,noteam,1987-03-07,Russia,0.0,0.0,denis-galimzyanov
456,Vladimir Gusev,noteam,1982-07-04,Russia,1.76,67.0,vladimir-gusev
457,Marco Haller,Team Katusha Alpecin,1991-04-01,Austria,1.78,72.0,marco-haller
458,Joan Horrach,noteam,1974-03-27,Spain,1.79,70.0,joan-horrach
459,Petr Ignatenko,noteam,1987-09-27,Russia,0.0,0.0,petr-ignatenko
460,Mikhail Ignatiev,noteam,1985-05-07,Russia,0.0,0.0,mikhail-ignatiev
461,Vladimir Isaychev,noteam,1986-04-21,Russia,1.88,80.0,vladimir-isaychev
462,Alexandr Kolobnev,noteam,1981-05-04,Russia,1.74,64.0,alexandr-kolobnev
463,Alexander Kristoff,UAE-Team Emirates,1987-07-05,Norway,1.81,78.0,alexander-kristoff
464,Timofey Kritskiy,noteam,1987-01-24,Russia,1.9,81.0,timofey-kritskiy
465,Aleksandr Kuschynski,noteam,1979-10-27,Belarus,1.82,65.0,aliaksandr-kuchynski
466,Viacheslav Kuznetsov,Team Katusha Alpecin,1989-06-24,Russia,1.84,70.0,viacheslav-kuznetsov
467,Alberto Losada,noteam,1982-02-28,Spain,1.8,69.0,alberto-losada
468,Denis Menchov,noteam,1978-01-25,Russia,1.8,65.0,denis-menchov
469,Daniel Moreno,noteam,1981-09-05,Spain,1.73,59.0,daniel-moreno
470,Luca Paolini,noteam,1977-01-17,Italy,1.74,66.0,luca-paolini
471,Alexander Porsev,Gazprom-RusVelo,1986-02-21,Russia,1.85,80.0,alexander-porsev
472,Joaquim Rodríguez,noteam,1979-05-12,Spain,1.69,58.0,joaquim-rodriguez
473,Rüdiger Selig,BORA - hansgrohe,1989-02-19,Germany,1.88,80.0,rudiger-selig
474,Gatis Smukulis,noteam,1987-04-15,Latvia,1.83,72.0,gatis-smukulis
475,Simon Špilak,Team Katusha Alpecin,1986-06-23,Slovenia,1.76,68.0,simon-spilak
476,Yuri Trofimov,noteam,1984-01-26,Russia,1.69,59.0,yuri-trofimov
477,Alexey Tsatevich,noteam,1989-07-05,Russia,1.69,64.0,alexey-tsatevich
478,Maxime Vantomme,Tarteletto - Isorex,1986-03-08,Belgium,1.74,63.0,maxime-vantomme
479,Ángel Vicioso,noteam,1977-04-13,Spain,1.7,60.0,angel-vicioso
480,Eduard Vorganov,Minsk Cycling Club,1982-12-07,Russia,1.77,65.0,eduard-vorganov
481,Anton Vorobyev,Gazprom-RusVelo,1990-10-12,Russia,1.8,74.0,anton-vorobyev
482,Ilnur Zakarin,Team Katusha Alpecin,1989-09-15,Russia,1.87,67.0,ilnur-zakarin
483,Jonas Aaen Jørgensen,Riwal Readynez Cycling Team,1986-04-20,Denmark,0.0,0.0,jonas-aaen-jorgensen
484,Manuele Boaro,Astana Pro Team,1987-03-12,Italy,1.73,64.0,manuele-boaro
485,Jonathan Cantwell,noteam,1982-01-08,Australia,1.74,69.0,jonathan-cantwell
486,Mads Christensen,noteam,1984-04-06,Denmark,0.0,0.0,mads-christensen
487,Alberto Contador,noteam,1982-12-06,Spain,1.76,61.0,alberto-contador
488,Volodymyr Gustov,noteam,1977-02-15,Ukraine,1.79,64.0,volodymyr-gustov
489,Juan José Haedo,noteam,1981-01-26,Argentina,1.8,73.0,juan-jose-haedo
490,Lucas Sebastián Haedo,noteam,1983-04-18,Argentina,1.73,64.0,lucas-sebastian-haedo
491,Jesús Hernández,noteam,1981-09-28,Spain,1.69,58.0,jesus-hernandez-3
492,Christopher Juul-Jensen,Mitchelton-Scott,1989-07-06,Denmark,1.83,73.0,christopher-juul-jensen
493,Kasper Klostergaard,noteam,1983-05-22,Denmark,0.0,0.0,kasper-klostergaard
494,Karsten Kroon,noteam,1976-01-29,Netherlands,1.8,67.0,karsten-kroon
495,Anders Lund,noteam,1985-02-14,Denmark,1.67,65.0,anders-lund-1
496,Rafał Majka,BORA - hansgrohe,1989-09-12,Poland,1.73,62.0,rafal-majka
497,Ran Margaliot,noteam,1988-07-18,Israel,0.0,0.0,ran-margaliot
498,Jarosław Marycz,noteam,1987-04-17,Poland,1.82,69.0,jaroslaw-marycz
499,Takashi Miyazawa,noteam,1978-02-27,Japan,1.64,61.0,takashi-miyazawa
500,Michael Mørkøv,Deceuninck - Quick Step,1985-04-30,Denmark,1.83,69.0,michael-morkov
501,Daniel Navarro,Team Katusha Alpecin,1983-07-18,Spain,1.75,60.0,daniel-navarro
502,Benjamín Noval,noteam,1979-01-23,Spain,1.78,71.0,benjamin-gonzalez-noval
503,Nick Nuyens,noteam,1980-05-05,Belgium,1.77,68.0,nick-nuyens
504,Sérgio Miguel Paulinho,Efapel,1980-03-26,Portugal,1.72,64.0,sergio-paulinho
505,Bruno Pires,noteam,1981-05-15,Portugal,1.74,63.0,bruno-manuel-silva-pires
506,Luke Roberts,noteam,1977-01-25,Australia,0.0,0.0,luke-roberts-1
507,Nicki Sørensen,noteam,1975-05-14,Denmark,1.82,71.0,nicki-sorensen
508,Chris Anker Sørensen,noteam,1984-09-05,Denmark,1.85,64.0,chris-anker-sorensen
509,David Tanner,noteam,1984-09-30,Australia,1.84,68.0,david-tanner
510,Matteo Tosatto,noteam,1974-05-14,Italy,1.81,74.0,matteo-tosatto
511,Troels Rønning Vinther,Riwal Readynez Cycling Team,1987-02-24,Denmark,1.82,68.0,troels-vinther
512,Kris Boeckmans,Vital Concept - B&B Hotels,1987-02-13,Belgium,1.8,74.0,kris-boeckmans
513,Matteo Carrara,noteam,1979-03-25,Italy,0.0,0.0,matteo-carrara
514,Thomas De Gendt,Lotto Soudal,1986-11-06,Belgium,1.77,69.0,thomas-de-gendt
515,Stefan Denifl,noteam,1987-09-20,Austria,1.79,65.0,stefan-denifl
516,Stijn Devolder,Corendon - Circus,1979-08-29,Belgium,1.82,81.0,stijn-devolder
517,Romain Feillu,St Michel - Auber93,1984-04-16,France,1.74,64.0,romain-feillu
518,Jasper Hamelink,noteam,1990-01-12,Netherlands,0.0,0.0,jasper-hamelink
519,Johnny Hoogerland,noteam,1983-05-13,Netherlands,1.79,70.0,johnny-hoogerland
520,Martijn Keizer,noteam,1988-03-25,Netherlands,1.93,72.0,martijn-keizer
521,Wesley Kreder,Wanty - Gobert Cycling Team,1990-11-04,Netherlands,1.83,70.0,wesley-kreder
522,Sergey Lagutin,noteam,1981-01-14,Russia,1.82,63.0,sergey-lagutin
523,Maurits Lammertink,Roompot - Charles,1990-08-31,Netherlands,1.7,59.0,maurits-lammertink
524,Gustav Erik Larsson,noteam,1980-09-20,Sweden,1.95,77.0,gustav-larsson
525,Björn Leukemans,noteam,1977-07-01,Belgium,1.77,67.0,bjorn-leukemans
526,Pim Ligthart,Team Total Direct Energie,1988-06-16,Netherlands,1.81,72.0,pim-ligthart
527,Bert-Jan Lindeman,Team Jumbo-Visma,1989-06-16,Netherlands,1.8,69.0,bert-jan-lindeman
528,Marco Marcato,UAE-Team Emirates,1984-02-11,Italy,1.74,67.0,marco-marcato
529,Tomasz Marczyński,Lotto Soudal,1984-03-06,Poland,1.8,69.0,tomasz-marczynski
530,Barry Markus,noteam,1991-07-17,Netherlands,1.79,75.0,barry-markus
531,Wouter Mol,noteam,1982-04-17,Netherlands,1.95,83.0,wouter-mol
532,Jacek Morajko,noteam,1981-04-26,Poland,0.0,0.0,jacek-morajko
533,Martin Mortensen,Team Waoo,1984-11-05,Denmark,1.8,70.0,martin-mortensen
534,Nikita Novikov,noteam,1989-08-14,Russia,0.0,0.0,nikita-novikov
535,Marcello Pavarin,noteam,1986-10-22,Italy,0.0,0.0,marcello-pavarin
536,Wout Poels,Team INEOS,1987-10-01,Netherlands,1.83,66.0,wout-poels
537,Rob Ruijgh,noteam,1986-11-12,Netherlands,1.75,63.0,rob-ruijgh
538,Mirko Selvaggi,noteam,1985-02-11,Italy,1.95,74.0,mirko-selvaggi
539,Rafael Valls,Movistar Team,1987-06-25,Spain,1.79,59.0,rafael-valls
540,Kenny van Hummel,noteam,1982-09-30,Netherlands,1.76,64.0,kenny-van-hummel
541,Kevin Van Impe,noteam,1981-04-19,Belgium,0.0,0.0,kevin-van-impe
542,Frederik Veuchelen,noteam,1978-09-04,Belgium,1.83,75.0,frederik-veuchelen
543,Willem Wauters,noteam,1989-11-10,Belgium,0.0,0.0,willem-wauters
544,Lieuwe Westra,noteam,1982-09-11,Netherlands,1.85,74.0,lieuwe-westra
545,Steven Caethoven,noteam,1981-05-09,Belgium,0.0,0.0,steven-caethoven
546,Andy Cappelle,noteam,1979-04-30,Belgium,0.0,0.0,andy-cappelle
547,Oleg Chuzhda,noteam,1985-05-08,Ukraine,0.0,0.0,oleg-chuzhda
548,Tim De Troyer,noteam,1990-08-11,Belgium,1.78,72.0,tim-de-troyer
549,Wim De Vocht,noteam,1982-04-29,Belgium,0.0,0.0,wim-de-vocht
550,Sjef de Wilde,noteam,1981-05-03,Belgium,0.0,0.0,sjef-de-wilde
551,Thomas Degand,Wanty - Gobert Cycling Team,1986-05-13,Belgium,1.76,63.0,thomas-degand
552,Jempy Drucker,BORA - hansgrohe,1986-09-03,Luxembourg,1.82,75.0,jean-pierre-drucker
553,Jérôme Gilbert,noteam,1984-01-22,Belgium,0.0,0.0,jerome-gilbert
554,Rob Goris,noteam,1982-03-15,Belgium,0.0,0.0,rob-goris
555,Grégory Habeaux,noteam,1982-10-20,Belgium,1.83,68.0,gregory-habeaux
556,Leif Hoste,noteam,1977-07-17,Belgium,0.0,0.0,leif-hoste
557,Kevyn Ista,Wallonie-Bruxelles,1984-11-22,Belgium,1.83,70.0,kevyn-ista
558,Staf Scheirlinckx,noteam,1979-03-12,Belgium,0.0,0.0,staf-scheirlinckx
559,Timothy Stevens,Cibel,1989-03-26,Belgium,0.0,0.0,timothy-stevens
560,Stefan van Dijk,noteam,1976-01-22,Netherlands,0.0,0.0,stefan-van-dijk-1
561,Jurgen Van Goolen,noteam,1980-11-28,Belgium,1.83,70.0,jurgen-van-goolen
562,Arnoud van Groen,noteam,1983-12-11,Netherlands,1.83,69.0,arnoud-van-groen
563,Kevin van Melsen,Wanty - Gobert Cycling Team,1987-04-01,Belgium,1.85,78.0,kevin-van-melsen
564,James Vanlandschoot,noteam,1978-08-26,Belgium,1.66,67.0,james-vanlandschoot
565,Evert Verbist,noteam,1984-06-27,Belgium,0.0,0.0,evert-verbist
566,Benjamin Verraes,noteam,1987-02-21,Belgium,0.0,0.0,benjamin-verraes
567,Steve Bekaert,noteam,1990-12-26,Belgium,0.0,0.0,steve-bekaert
568,Carlos Betancur,Movistar Team,1989-10-13,Colombia,1.67,65.0,carlos-betancur
569,Paolo Ciavatta,noteam,1984-11-06,Italy,0.0,0.0,paolo-ciavatta
570,Massimo Codol,noteam,1973-02-27,Italy,0.0,0.0,massimo-codol
571,Claudio Corioni,noteam,1982-12-26,Italy,1.8,67.0,claudio-corioni
572,Stefano di Carlo,noteam,1987-08-15,Italy,0.0,0.0,stefano-di-carlo
573,Danilo Di Luca,noteam,1976-01-02,Italy,0.0,0.0,danilo-di-luca
574,Francesco Di Paolo,noteam,1982-04-18,Italy,0.0,0.0,francesco-di-paolo
575,Alessandro Donati,noteam,1979-05-08,Italy,0.0,0.0,alessandro-donati
576,Stefano Garzelli,noteam,1973-07-16,Italy,0.0,0.0,stefano-garzelli
577,Francesco Ginanni,noteam,1985-10-06,Italy,0.0,0.0,francesco-ginanni
578,Ruggero Marzoli,noteam,1976-04-02,Italy,0.0,0.0,ruggero-marzoli
579,Simone Masciarelli,noteam,1980-01-02,Italy,0.0,0.0,simone-masciarelli
580,Andrea Masciarelli,noteam,1982-09-02,Italy,0.0,0.0,andrea-masciarelli
581,Vladimir Miholjević,noteam,1974-01-18,Croatia,1.8,68.0,vladimir-miholjevic
582,Danilo Napolitano,noteam,1981-01-31,Italy,1.74,81.0,danilo-napolitano
583,Francesco Reda,noteam,1982-11-19,Italy,0.0,0.0,francesco-reda
584,Daniele Scampamorte,noteam,1986-07-15,Italy,0.0,0.0,daniele-scampamorte
585,Fabio Taborre,noteam,1985-06-05,Italy,1.78,66.0,fabio-taborre
586,Jose Aguilar Vega,noteam,1986-11-17,Spain,0.0,0.0,jose-aguilar-vega
587,Antonio Cabello,noteam,1990-01-05,Spain,0.0,0.0,antonio-cabello-baena
588,Jose Luis Cano,noteam,1988-04-28,Spain,0.0,0.0,jose-luis-cano
